index,genres,keywords,popularity,revenue,title,vote_average,vote_count,cast,director,soup
442,"['action', 'crime', 'sciencefiction', 'thriller']","['undercover', 'mexicanstandoff', 'biologicalweapon', 'facetransplant', 'rageandhate']",46.075037,245676146,face/off,6.8,1583,"['johntravolta', 'nicolascage', 'joanallen', 'alessandronivola', 'ginagershon']",johnwoo,undercover mexicanstandoff biologicalweapon facetransplant rageandhate johntravolta nicolascage joanallen alessandronivola ginagershon action crime sciencefiction thriller johnwoo
444,"['thriller', 'crime', 'drama']","['basedongraphicnovel', 'homework', 'shotinthechin', 'softboiledegg', 'learningtodrive']",49.078546,181001478,road to perdition,7.3,1077,"['tomhanks', 'tylerhoechlin', 'jenniferjasonleigh', 'liamaiken', 'paulnewman']",sammendes,basedongraphicnovel homework shotinthechin softboiledegg learningtodrive tomhanks tylerhoechlin jenniferjasonleigh liamaiken paulnewman thriller crime drama sammendes
445,"['romance', 'comedy']","['beach', 'fictitiousmarriage', 'blackmail', 'plasticsurgery', 'marriage']",37.02665,214918407,just go with it,6.3,1543,"['adamsandler', 'jenniferaniston', 'nicolekidman', 'nickswardson', 'brooklyndecker']",dennisdugan,beach fictitiousmarriage blackmail plasticsurgery marriage adamsandler jenniferaniston nicolekidman nickswardson brooklyndecker romance comedy dennisdugan
446,"['action', 'thriller', 'crime']","['prison', 'ambush', 'helicopter', 'airport', 'gasstation']",45.154631,224012234,con air,6.5,1270,"['nicolascage', 'johncusack', 'johnmalkovich', 'vingrhames', 'nickchinlund']",simonwest,prison ambush helicopter airport gasstation nicolascage johncusack johnmalkovich vingrhames nickchinlund action thriller crime simonwest
447,"['mystery', 'thriller', 'action']","['artificialintelligence', 'washingtond.c.', 'secretidentity', 'hostage', 'technology']",46.887983,178066569,eagle eye,6.3,1018,"['shialabeouf', 'michellemonaghan', 'rosariodawson', 'michaelchiklis', 'anthonymackie']",d.j.caruso,artificialintelligence washingtond.c. secretidentity hostage technology shialabeouf michellemonaghan rosariodawson michaelchiklis anthonymackie mystery thriller action d.j.caruso
448,['drama'],"['lossoflover', 'lossoffamily', 'deserter', 'lossoffather', ""loveofone'slife""]",24.598479,173013509,cold mountain,6.7,533,"['judelaw', 'nicolekidman', 'renéezellweger', 'eileenatkins', 'brendangleeson']",anthonyminghella,lossoflover lossoffamily deserter lossoffather loveofone'slife judelaw nicolekidman renéezellweger eileenatkins brendangleeson drama anthonyminghella
449,"['action', 'thriller', 'sciencefiction']","['book', 'post-apocalyptic', 'dystopia', 'faith', 'blind']",32.363538,157107755,the book of eli,6.6,2164,"['denzelwashington', 'garyoldman', 'milakunis', 'raystevenson', 'jenniferbeals']",allenhughes,book post-apocalyptic dystopia faith blind denzelwashington garyoldman milakunis raystevenson jenniferbeals action thriller sciencefiction allenhughes
452,"['animation', 'comedy', 'drama', 'family', 'fantasy']","['sport', 'basketball', 'doctor', 'basketballteam', 'basketballgame']",36.125715,250200000,space jam,6.5,1288,"['michaeljordan', 'wayneknight', 'billywest', 'deebradleybaker', 'theresarandle']",joepytka,sport basketball doctor basketballteam basketballgame michaeljordan wayneknight billywest deebradleybaker theresarandle animation comedy drama family fantasy joepytka
455,"['action', 'drama', 'mystery', 'thriller']","['newyork', 'cia', 'helicopter', 'assassin', 'secret']",22.179658,136982834,conspiracy theory,6.5,431,"['melgibson', 'juliaroberts', 'patrickstewart', 'cylkcozart', 'stevekahan']",richarddonner,newyork cia helicopter assassin secret melgibson juliaroberts patrickstewart cylkcozart stevekahan action drama mystery thriller richarddonner
456,"['war', 'drama', 'action']","['worldwarii', 'nazis', 'war', 'nazigermany', 'panzer']",139.575085,211817906,fury,7.4,3946,"['bradpitt', 'shialabeouf', 'loganlerman', 'michaelpeña', 'jonbernthal']",davidayer,worldwarii nazis war nazigermany panzer bradpitt shialabeouf loganlerman michaelpeña jonbernthal war drama action davidayer
459,"['western', 'animation', 'adventure', 'comedy', 'family']","['humanbeing', 'freedom', 'mustang', 'rivalry', 'wildlife']",41.670544,122563539,spirit: stallion of the cimarron,7.4,831,"['mattdamon', 'jamescromwell', 'danielstudi', 'chopperbernet', 'jefflebeau']",lornacook,humanbeing freedom mustang rivalry wildlife mattdamon jamescromwell danielstudi chopperbernet jefflebeau western animation adventure comedy family lornacook
462,"['drama', 'thriller', 'mystery']","['senator', 'gulfwar', 'canoe', 'kuwait', 'conspiracy']",21.394281,96105964,the manchurian candidate,6.2,393,"['denzelwashington', 'merylstreep', 'lievschreiber', 'jonvoight', 'kimberlyelise']",jonathandemme,senator gulfwar canoe kuwait conspiracy denzelwashington merylstreep lievschreiber jonvoight kimberlyelise drama thriller mystery jonathandemme
463,"['romance', 'drama']","['love', 'american', 'pin', 'stranger', 'ruby']",0.605645,0,déjà vu,8.0,1,"['stephendillane', 'victoriafoyt', 'vanessaredgrave', 'michaelbrandon', 'glynisbarber']",henryjaglom,love american pin stranger ruby stephendillane victoriafoyt vanessaredgrave michaelbrandon glynisbarber romance drama henryjaglom
464,"['animation', 'comedy', 'family']","['transylvania', 'hotel', 'witch', 'technology', 'magic']",61.692197,473226958,hotel transylvania 2,6.7,1497,"['adamsandler', 'andysamberg', 'selenagomez', 'kevinjames', 'stevebuscemi']",genndytartakovsky,transylvania hotel witch technology magic adamsandler andysamberg selenagomez kevinjames stevebuscemi animation comedy family genndytartakovsky
465,"['animation', 'family', 'music']","['orchestra', 'musicalsegments']",14.530945999999998,90874570,fantasia 2000,7.0,292,"['stevemartin', 'itzhakperlman', 'quincyjones', 'bettemidler', 'jamesearljones']",pixotehunt,orchestra musicalsegments stevemartin itzhakperlman quincyjones bettemidler jamesearljones animation family music pixotehunt
468,"['action', 'crime', 'thriller']","['femalenudity', 'hacker', 'terrorism', 'violence', 'ex-con']",36.788745,147080413,swordfish,6.1,932,"['johntravolta', 'hughjackman', 'halleberry', 'doncheadle', 'samshepard']",dominicsena,femalenudity hacker terrorism violence ex-con johntravolta hughjackman halleberry doncheadle samshepard action crime thriller dominicsena
470,"['drama', 'fantasy', 'romance']","['paradise', 'soul', 'underworld', 'heaven', 'painting']",21.891078,71485043,what dreams may come,6.8,577,"['robinwilliams', 'cubagoodingjr.', 'annabellasciorra', 'maxvonsydow', 'jessicabrooksgrant']",vincentward,paradise soul underworld heaven painting robinwilliams cubagoodingjr. annabellasciorra maxvonsydow jessicabrooksgrant drama fantasy romance vincentward
473,"['comedy', 'fantasy', 'sciencefiction']","['savingtheworld', 'totaldestruction', 'whitehouse', 'mars', 'usapresident']",44.090534999999996,101371017,mars attacks!,6.1,1509,"['jacknicholson', 'glennclose', 'annettebening', 'piercebrosnan', 'dannydevito']",timburton,savingtheworld totaldestruction whitehouse mars usapresident jacknicholson glennclose annettebening piercebrosnan dannydevito comedy fantasy sciencefiction timburton
474,"['mystery', 'drama', 'horror']","['nurse', 'sea', 'beach', 'boy', 'pregnant']",3.300061,0,evolution,6.4,47,"['maxbrebant', 'roxaneduran', 'julie-marieparmentier', 'mathieugoldfeld', 'nissimrenard']",lucilehadzihalilovic,nurse sea beach boy pregnant maxbrebant roxaneduran julie-marieparmentier mathieugoldfeld nissimrenard mystery drama horror lucilehadzihalilovic
475,"['action', 'adventure', 'drama']","['photographer', 'grizzlybear', 'wilderness', 'airplane', 'supermodel']",20.632673,43312294,the edge,6.7,349,"['alecbaldwin', 'anthonyhopkins', 'ellemacpherson', 'haroldperrineau', 'l.q.jones']",leetamahori,photographer grizzlybear wilderness airplane supermodel alecbaldwin anthonyhopkins ellemacpherson haroldperrineau l.q.jones action adventure drama leetamahori
477,"['drama', 'thriller']","['usapresident', 'atomicbomb', 'johnf.kennedy', 'kubakrise', 'threat']",18.261210000000002,34566746,thirteen days,6.9,189,"['kevincostner', 'brucegreenwood', 'stevenculp', 'dylanbaker', 'shawndriscoll']",rogerdonaldson,usapresident atomicbomb johnf.kennedy kubakrise threat kevincostner brucegreenwood stevenculp dylanbaker shawndriscoll drama thriller rogerdonaldson
484,"['drama', 'adventure']","['usa', 'post', 'postman', 'army', 'apocalypse']",14.564667000000002,17626234,the postman,6.1,299,"['kevincostner', 'willpatton', 'oliviawilliams', 'larenztate', 'tompetty']",kevincostner,usa post postman army apocalypse kevincostner willpatton oliviawilliams larenztate tompetty drama adventure kevincostner
489,"['documentary', 'family']","['ocean', 'sea', 'fish', 'whale', 'duringcreditsstinger']",10.706613,19406406,oceans,7.3,111,"['piercebrosnan', 'jacquesperrin', 'riemiyazawa', 'aldobaglio', 'matthiasbrandt']",jacquescluzaud,ocean sea fish whale duringcreditsstinger piercebrosnan jacquesperrin riemiyazawa aldobaglio matthiasbrandt documentary family jacquescluzaud
493,"['drama', 'romance']","['individual', 'schizophrenia', 'massachusetts', ""loveofone'slife"", 'intelligence']",59.248437,313542341,a beautiful mind,7.7,3009,"['russellcrowe', 'edharris', 'jenniferconnelly', 'christopherplummer', 'paulbettany']",ronhoward,individual schizophrenia massachusetts loveofone'slife intelligence russellcrowe edharris jenniferconnelly christopherplummer paulbettany drama romance ronhoward
494,"['family', 'animation', 'drama']","['lossofparents', 'wildboar', 'uncle', 'shaman', 'redemption']",90.457886,788241776,the lion king,8.0,5376,"['jonathantaylorthomas', 'matthewbroderick', 'jamesearljones', 'jeremyirons', 'moirakelly']",robminkoff,lossofparents wildboar uncle shaman redemption jonathantaylorthomas matthewbroderick jamesearljones jeremyirons moirakelly family animation drama robminkoff
496,"['animation', 'family', 'comedy']","['inventor', 'food', 'scientist']",41.247402,248384621,cloudy with a chance of meatballs 2,6.4,915,"['billhader', 'annafaris', 'jamescaan', 'willforte', 'andysamberg']",krispearn,inventor food scientist billhader annafaris jamescaan willforte andysamberg animation family comedy krispearn
497,"['crime', 'thriller', 'horror']","['psychopath', 'serialkiller', 'fbiagent']",10.083905,209196298,red dragon,6.7,1115,"['anthonyhopkins', 'edwardnorton', 'ralphfiennes', 'harveykeitel', 'emilywatson']",brettratner,psychopath serialkiller fbiagent anthonyhopkins edwardnorton ralphfiennes harveykeitel emilywatson crime thriller horror brettratner
498,"['western', 'adventure']","['horserace', 'horse', 'racehorse']",16.759252,108103450,hidalgo,6.5,318,"['viggomortensen', 'zuleikharobinson', 'omarsharif', 'adamalexi-malle', 'louiselombard']",joejohnston,horserace horse racehorse viggomortensen zuleikharobinson omarsharif adamalexi-malle louiselombard western adventure joejohnston
500,"['action', 'crime', 'thriller']","['miami', 'carrace', 'sportscar', 'losangeles', 'car']",10.520961,236350661,2 fast 2 furious,6.2,2028,"['paulwalker', 'tyresegibson', 'evamendes', 'colehauser', 'ludacris']",johnsingleton,miami carrace sportscar losangeles car paulwalker tyresegibson evamendes colehauser ludacris action crime thriller johnsingleton
501,"['adventure', 'animation', 'fantasy']","['philosophy', 'utopia', 'airplane', 'adventure', 'dystopia']",35.384423,97571250,the little prince,7.6,756,"['jeffbridges', 'rachelmcadams', 'paulrudd', 'marioncotillard', 'jamesfranco']",markosborne,philosophy utopia airplane adventure dystopia jeffbridges rachelmcadams paulrudd marioncotillard jamesfranco adventure animation fantasy markosborne
506,"['animation', 'comedy', 'family']","['secretagent', 'bakery', 'fallinginlove', 'fatherdaughterrelationship', 'duringcreditsstinger']",136.886704,970761885,despicable me 2,7.0,4637,"['stevecarell', 'kristenwiig', 'benjaminbratt', 'mirandacosgrove', 'russellbrand']",chrisrenaud,secretagent bakery fallinginlove fatherdaughterrelationship duringcreditsstinger stevecarell kristenwiig benjaminbratt mirandacosgrove russellbrand animation comedy family chrisrenaud
507,"['action', 'adventure', 'sciencefiction']","['spacecraft', 'patriotism', 'countdown', 'independence', 'invasion']",60.442593,816969268,independence day,6.7,3260,"['willsmith', 'billpullman', 'jeffgoldblum', 'marymcdonnell', 'juddhirsch']",rolandemmerich,spacecraft patriotism countdown independence invasion willsmith billpullman jeffgoldblum marymcdonnell juddhirsch action adventure sciencefiction rolandemmerich
508,"['adventure', 'action', 'sciencefiction']","['exoticisland', 'dna', 'paleontology', 'tyrannosaurusrex', 'velociraptor']",2.502487,229074524,the lost world: jurassic park,6.2,2487,"['jeffgoldblum', 'juliannemoore', 'petepostlethwaite', 'richardattenborough', 'vincevaughn']",stevenspielberg,exoticisland dna paleontology tyrannosaurusrex velociraptor jeffgoldblum juliannemoore petepostlethwaite richardattenborough vincevaughn adventure action sciencefiction stevenspielberg
509,"['family', 'animation']","['lion', 'hippopotamus', 'giraffe', 'penguin', 'zebra']",48.110909,532680671,madagascar,6.6,3237,"['benstiller', 'chrisrock', 'davidschwimmer', 'jadapinkettsmith', 'sachabaroncohen']",tommcgrath,lion hippopotamus giraffe penguin zebra benstiller chrisrock davidschwimmer jadapinkettsmith sachabaroncohen family animation tommcgrath
510,"['drama', 'action', 'thriller', 'sciencefiction']","['policestate', 'hippie', 'rebel', 'miracle', 'future']",35.387874,69959751,children of men,7.4,2071,"['cliveowen', 'michaelcaine', 'juliannemoore', 'charliehunnam', 'chiwetelejiofor']",alfonsocuarón,policestate hippie rebel miracle future cliveowen michaelcaine juliannemoore charliehunnam chiwetelejiofor drama action thriller sciencefiction alfonsocuarón
511,"['adventure', 'action', 'sciencefiction']","['mutant', 'marvelcomic', 'superhero', 'basedoncomicbook', 'superhuman']",4.6689099999999994,296339527,x-men,6.8,4097,"['patrickstewart', 'hughjackman', 'ianmckellen', 'halleberry', 'famkejanssen']",bryansinger,mutant marvelcomic superhero basedoncomicbook superhuman patrickstewart hughjackman ianmckellen halleberry famkejanssen adventure action sciencefiction bryansinger
512,"['action', 'thriller', 'crime']","['assassin', 'lossoffather', 'secretsociety', 'missionofmurder', 'revenge']",73.82289,258270008,wanted,6.4,2528,"['angelinajolie', 'jamesmcavoy', 'morganfreeman', 'thomaskretschmann', 'terencestamp']",timurbekmambetov,assassin lossoffather secretsociety missionofmurder revenge angelinajolie jamesmcavoy morganfreeman thomaskretschmann terencestamp action thriller crime timurbekmambetov
513,"['action', 'adventure', 'thriller']","['sanfrancisco', 'fbi', 'gasattack', 'alcatraz', 'hostagesituation']",51.469576,335062621,the rock,6.9,1456,"['seanconnery', 'nicolascage', 'edharris', 'johnspencer', 'davidmorse']",michaelbay,sanfrancisco fbi gasattack alcatraz hostagesituation seanconnery nicolascage edharris johnspencer davidmorse action adventure thriller michaelbay
514,"['animation', 'family', 'comedy', 'adventure']","['mammoth', 'sloth', 'iceage', 'barrierice', 'icemelting']",85.11505799999999,660940780,ice age: the meltdown,6.5,2951,"['rayromano', 'johnleguizamo', 'denisleary', 'queenlatifah', 'seannwilliamscott']",carlossaldanha,mammoth sloth iceage barrierice icemelting rayromano johnleguizamo denisleary queenlatifah seannwilliamscott animation family comedy adventure carlossaldanha
515,"['comedy', 'romance']","['dejavu', 'amnesia', 'hawaii', 'ladykiller', 'romanticcomedy']",61.437585999999996,196482882,50 first dates,6.6,2105,"['adamsandler', 'drewbarrymore', 'robschneider', 'seanastin', 'lusiastrus']",petersegal,dejavu amnesia hawaii ladykiller romanticcomedy adamsandler drewbarrymore robschneider seanastin lusiastrus comedy romance petersegal
516,"['family', 'comedy', 'music', 'romance']","['races', 'dream', 'dance', 'television', 'tvshow']",31.160542,90450008,hairspray,6.5,709,"['johntravolta', 'michellepfeiffer', 'christopherwalken', 'jamesmarsden', 'queenlatifah']",adamshankman,races dream dance television tvshow johntravolta michellepfeiffer christopherwalken jamesmarsden queenlatifah family comedy music romance adamshankman
519,"['thriller', 'crime']","['paris', 'bank', 'secret', 'fbi', 'vault']",71.124686,117698894,now you see me,7.3,5487,"['jesseeisenberg', 'markruffalo', 'woodyharrelson', 'mélanielaurent', 'islafisher']",louisleterrier,paris bank secret fbi vault jesseeisenberg markruffalo woodyharrelson mélanielaurent islafisher thriller crime louisleterrier
521,"['comedy', 'drama']","['newyork', 'airport', 'marriageproposal', 'translation', 'craftsman']",57.753914,219417255,the terminal,7.0,1910,"['tomhanks', 'catherinezeta-jones', 'stanleytucci', 'chimcbride', 'diegoluna']",stevenspielberg,newyork airport marriageproposal translation craftsman tomhanks catherinezeta-jones stanleytucci chimcbride diegoluna comedy drama stevenspielberg
524,"['comedy', 'drama', 'history']","['washingtond.c.', 'alcohol', 'cia', 'helicopter', 'refugeecamp']",18.70031,119000410,charlie wilson's war,6.5,338,"['tomhanks', 'philipseymourhoffman', 'juliaroberts', 'amyadams', 'ompuri']",mikenichols,washingtond.c. alcohol cia helicopter refugeecamp tomhanks philipseymourhoffman juliaroberts amyadams ompuri comedy drama history mikenichols
526,['drama'],"['musicrecord', 'manager', 'blackpeople', 'adultery', 'soul']",14.486310999999999,154937680,dreamgirls,6.6,284,"['jamiefoxx', 'beyoncéknowles', 'eddiemurphy', 'dannyglover', 'jenniferhudson']",billcondon,musicrecord manager blackpeople adultery soul jamiefoxx beyoncéknowles eddiemurphy dannyglover jenniferhudson drama billcondon
528,"['drama', 'action', 'history', 'thriller']","['paris', 'assassination', 'israel', 'hotelroom', '1970s']",29.035221999999997,130358911,munich,6.9,696,"['ericbana', 'danielcraig', 'ciaránhinds', 'mathieukassovitz', 'hannszischler']",stevenspielberg,paris assassination israel hotelroom 1970s ericbana danielcraig ciaránhinds mathieukassovitz hannszischler drama action history thriller stevenspielberg
529,"['action', 'drama', 'war']","['u.s.army', 'nigeria', 'president']",27.055085,85632458,tears of the sun,6.4,573,"['brucewillis', 'monicabellucci', 'colehauser', 'eamonnwalker', 'johnnymessner']",antoinefuqua,u.s.army nigeria president brucewillis monicabellucci colehauser eamonnwalker johnnymessner action drama war antoinefuqua
531,"['comedy', 'action', 'adventure']","['spy', 'coldwar', 'remake', 'basedontvseries', 'buddycop']",48.744209000000005,108145109,the man from u.n.c.l.e.,7.1,2265,"['henrycavill', 'armiehammer', 'aliciavikander', 'elizabethdebicki', 'lucacalvani']",guyritchie,spy coldwar remake basedontvseries buddycop henrycavill armiehammer aliciavikander elizabethdebicki lucacalvani comedy action adventure guyritchie
533,"['animation', 'comedy', 'family', 'fantasy']","['monster', 'secret', 'toy', 'children', 'neighbor']",36.368839,140175006,monster house,6.3,874,"['ryannewman', 'stevebuscemi', 'mitchelmusso', 'samlerner', 'spencerlocke']",gilkenan,monster secret toy children neighbor ryannewman stevebuscemi mitchelmusso samlerner spencerlocke animation comedy family fantasy gilkenan
534,"['action', 'comedy', 'crime', 'romance']",['prison'],24.353302,67631903,bandits,6.2,302,"['brucewillis', 'billybobthornton', 'cateblanchett', 'troygarity', 'williamconverse-roberts']",barrylevinson,prison brucewillis billybobthornton cateblanchett troygarity williamconverse-roberts action comedy crime romance barrylevinson
536,"['drama', 'history', 'romance']","['civilwar', 'fathersonrelationship', 'eastindiatradingcompany', 'traitor', 'deathpenalty']",13.327372,0,anna and the king,6.4,197,"['jodiefoster', 'chowyun-fat', 'bailing', 'tomfelton', 'randalldukkim']",andytennant,civilwar fathersonrelationship eastindiatradingcompany traitor deathpenalty jodiefoster chowyun-fat bailing tomfelton randalldukkim drama history romance andytennant
538,"['mystery', 'drama', 'thriller', 'crime']","['fbi', 'kidnapping', 'policeoperation', 'homeinvasion', 'hostagesituation']",23.663713,77944725,hostage,6.2,512,"['brucewillis', 'kevinpollak', 'jimmybennett', 'michellehorn', 'benfoster']",florent-emiliosiri,fbi kidnapping policeoperation homeinvasion hostagesituation brucewillis kevinpollak jimmybennett michellehorn benfoster mystery drama thriller crime florent-emiliosiri
539,"['animation', 'action', 'sciencefiction', 'family', 'adventure']","['monster', 'galaxy', 'dystopia', 'space', 'alien']",14.443810000000001,36754634,titan a.e.,6.3,313,"['mattdamon', 'billpullman', 'drewbarrymore', 'johnleguizamo', 'nathanlane']",donbluth,monster galaxy dystopia space alien mattdamon billpullman drewbarrymore johnleguizamo nathanlane animation action sciencefiction family adventure donbluth
541,"['action', 'war', 'sciencefiction']","['spacemarine', 'dystopia', 'alienplanet', 'geneticengineering']",11.873856,14567883,soldier,6.1,221,"['kurtrussell', 'jasonscottlee', 'jasonisaacs', 'connienielsen', 'seanpertwee']",paulw.s.anderson,spacemarine dystopia alienplanet geneticengineering kurtrussell jasonscottlee jasonisaacs connienielsen seanpertwee action war sciencefiction paulw.s.anderson
545,"['sciencefiction', 'thriller', 'drama']","['fathersonrelationship', 'trainaccident', 'comicbook', 'marriagecrisis', 'invulnerability']",42.006908,248118121,unbreakable,6.9,1946,"['brucewillis', 'samuell.jackson', 'robinwright', 'spencertreatclark', 'johnpatrickamedori']",m.nightshyamalan,fathersonrelationship trainaccident comicbook marriagecrisis invulnerability brucewillis samuell.jackson robinwright spencertreatclark johnpatrickamedori sciencefiction thriller drama m.nightshyamalan
546,"['family', 'animation', 'adventure', 'comedy']","['assistant', 'aftercreditsstinger', 'duringcreditsstinger', 'evilmastermind', 'minions']",875.581305,1156730962,minions,6.4,4571,"['sandrabullock', 'jonhamm', 'michaelkeaton', 'allisonjanney', 'stevecoogan']",pierrecoffin,assistant aftercreditsstinger duringcreditsstinger evilmastermind minions sandrabullock jonhamm michaelkeaton allisonjanney stevecoogan family animation adventure comedy pierrecoffin
553,"['thriller', 'action', 'drama']","['assassination', 'assassin', 'terrorist', 'explosive', 'fbi']",26.123704999999998,86658558,the kingdom,6.5,513,"['jamiefoxx', 'jennifergarner', 'chriscooper', 'jasonbateman', 'alisuliman']",peterberg,assassination assassin terrorist explosive fbi jamiefoxx jennifergarner chriscooper jasonbateman alisuliman thriller action drama peterberg
554,['comedy'],"['northcarolina', 'prayer', 'familydinner', 'advertising', 'divorce']",12.599836,162966177,talladega nights: the ballad of ricky bobby,6.2,491,"['willferrell', 'johnc.reilly', 'sachabaroncohen', 'garycole', 'michaelclarkeduncan']",adammckay,northcarolina prayer familydinner advertising divorce willferrell johnc.reilly sachabaroncohen garycole michaelclarkeduncan comedy adammckay
556,"['action', 'drama', 'history', 'war']","['individual', 'scotland', 'inlovewithenemy', 'legend', 'independence']",60.722162,210000000,braveheart,7.7,3336,"['melgibson', 'catherinemccormack', 'sophiemarceau', 'patrickmcgoohan', 'angusmacfadyen']",melgibson,individual scotland inlovewithenemy legend independence melgibson catherinemccormack sophiemarceau patrickmcgoohan angusmacfadyen action drama history war melgibson
557,"['drama', 'war']","['sniper', 'marinecorps', 'saudiarabia', 'petrol', 'golfwar']",32.227222999999995,96889998,jarhead,6.6,765,"['jamiefoxx', 'jakegyllenhaal', 'scottmacdonald', 'lucasblack', 'petersarsgaard']",sammendes,sniper marinecorps saudiarabia petrol golfwar jamiefoxx jakegyllenhaal scottmacdonald lucasblack petersarsgaard drama war sammendes
558,"['animation', 'comedy', 'family']","['fathersonrelationship', 'lake', 'springfield', 'thesimpsons', 'duffbeer']",46.875375,527068851,the simpsons movie,6.9,2264,"['dancastellaneta', 'juliekavner', 'nancycartwright', 'yeardleysmith', 'hankazaria']",davidsilverman,fathersonrelationship lake springfield thesimpsons duffbeer dancastellaneta juliekavner nancycartwright yeardleysmith hankazaria animation comedy family davidsilverman
559,"['drama', 'romance']","['california', 'falselyaccused', 'prosecution', 'anti-communism', 'hollywood']",11.215702,37317558,the majestic,6.6,188,"['jimcarrey', 'martinlandau', 'laurieholden', 'davidogdenstiers', 'halholbrook']",frankdarabont,california falselyaccused prosecution anti-communism hollywood jimcarrey martinlandau laurieholden davidogdenstiers halholbrook drama romance frankdarabont
561,"['adventure', 'drama', 'family']","['brotherbrotherrelationship', 'lossofbrother', 'cambodia', 'chase', 'tiger']",8.884317999999999,62172050,two brothers,6.9,180,"['maïanhle', 'guypearce', 'oanhnguyen', ""jaran'seetao'petcharoen"", 'stéphanielagarde']",jean-jacquesannaud,brotherbrotherrelationship lossofbrother cambodia chase tiger maïanhle guypearce oanhnguyen jaran'seetao'petcharoen stéphanielagarde adventure drama family jean-jacquesannaud
562,"['drama', 'mystery', 'thriller']","['secret', 'forest', 'ruralsetting', 'blindness', 'courtship']",27.491891,256697520,the village,6.2,1071,"['brycedallashoward', 'joaquinphoenix', 'adrienbrody', 'williamhurt', 'sigourneyweaver']",m.nightshyamalan,secret forest ruralsetting blindness courtship brycedallashoward joaquinphoenix adrienbrody williamhurt sigourneyweaver drama mystery thriller m.nightshyamalan
564,"['drama', 'thriller', 'sciencefiction', 'mystery']","['symbolism', 'water', 'farm', 'faith', 'alien']",28.848187,408247917,signs,6.4,1599,"['melgibson', 'joaquinphoenix', 'roryculkin', 'abigailbreslin', 'cherryjones']",m.nightshyamalan,symbolism water farm faith alien melgibson joaquinphoenix roryculkin abigailbreslin cherryjones drama thriller sciencefiction mystery m.nightshyamalan
565,"['adventure', 'animation', 'comedy', 'family', 'fantasy']","['prison', 'magic', 'liberation', 'honeymoon', 'parents-in-law']",47.320801,919838758,shrek 2,6.7,2988,"['mikemyers', 'eddiemurphy', 'camerondiaz', 'julieandrews', 'antoniobanderas']",conradvernon,prison magic liberation honeymoon parents-in-law mikemyers eddiemurphy camerondiaz julieandrews antoniobanderas adventure animation comedy family fantasy conradvernon
566,"['animation', 'adventure', 'comedy', 'family']","['carrace', 'carjourney', 'villageandtown', 'auto', 'route66']",82.643036,461983149,cars,6.6,3877,"['owenwilson', 'paulnewman', 'bonniehunt', 'larrythecableguy', 'tonyshalhoub']",joeranft,carrace carjourney villageandtown auto route66 owenwilson paulnewman bonniehunt larrythecableguy tonyshalhoub animation adventure comedy family joeranft
570,"['action', 'thriller']","['bounty', 'lossofchild', 'yellowpress', 'fbi', 'baby-snatching']",16.411345,309492681,ransom,6.4,470,"['melgibson', 'garysinise', 'delroylindo', 'renerusso', 'lilitaylor']",ronhoward,bounty lossofchild yellowpress fbi baby-snatching melgibson garysinise delroylindo renerusso lilitaylor action thriller ronhoward
571,"['drama', 'action', 'thriller', 'war']","['paris', 'guerrilla', 'cinema', 'selfsacrifice', 'dynamite']",72.595961,319131050,inglourious basterds,7.9,6430,"['bradpitt', 'mélanielaurent', 'christophwaltz', 'eliroth', 'michaelfassbender']",quentintarantino,paris guerrilla cinema selfsacrifice dynamite bradpitt mélanielaurent christophwaltz eliroth michaelfassbender drama action thriller war quentintarantino
572,"['adventure', 'fantasy', 'comedy', 'family']","['flying', 'swordplay', 'sword', 'fantasy', 'peterpan']",33.648404,300854823,hook,6.6,1532,"['robinwilliams', 'dustinhoffman', 'juliaroberts', 'bobhoskins', 'maggiesmith']",stevenspielberg,flying swordplay sword fantasy peterpan robinwilliams dustinhoffman juliaroberts bobhoskins maggiesmith adventure fantasy comedy family stevenspielberg
573,"['action', 'thriller']","['ambush', 'helicopter', 'journalist', 'basedonnovel', 'airport']",57.69846999999999,240031094,die hard 2,6.6,1896,"['brucewillis', 'bonniebedelia', 'williamatherton', 'reginaldveljohnson', 'franconero']",rennyharlin,ambush helicopter journalist basedonnovel airport brucewillis bonniebedelia williamatherton reginaldveljohnson franconero action thriller rennyharlin
575,"['drama', 'mystery', 'romance', 'sciencefiction', 'thriller']","['amnesia', 'ex-girlfriend', 'virtualreality']",27.299301,203388341,vanilla sky,6.5,1078,"['tomcruise', 'penélopecruz', 'camerondiaz', 'kurtrussell', 'jasonlee']",cameroncrowe,amnesia ex-girlfriend virtualreality tomcruise penélopecruz camerondiaz kurtrussell jasonlee drama mystery romance sciencefiction thriller cameroncrowe
579,"['action', 'history', 'war']","['vietnamveteran', 'missile', 'vietnamwar', 'army', 'major']",19.708731,114660784,we were soldiers,6.7,521,"['melgibson', 'gregkinnear', 'madeleinestowe', 'samelliott', 'chrisklein']",randallwallace,vietnamveteran missile vietnamwar army major melgibson gregkinnear madeleinestowe samelliott chrisklein action history war randallwallace
580,"['action', 'thriller']","['whitehouse', 'secretservice', 'terroristattack']",59.428222999999996,161025640,olympus has fallen,6.2,2981,"['gerardbutler', 'aaroneckhart', 'angelabassett', 'morganfreeman', 'radhamitchell']",antoinefuqua,whitehouse secretservice terroristattack gerardbutler aaroneckhart angelabassett morganfreeman radhamitchell action thriller antoinefuqua
